Company,Jobs,Website,Careers URL,Claimed,Slug,ShowJob URL
"Starling Bank",2,,,No,starling-bank,https://proofwork-nine.vercel.app/companies/starling-bank
"Revolut",2,,,No,revolut,https://proofwork-nine.vercel.app/companies/revolut
"Intec Select Ltd",2,,,No,intec-select-ltd,https://proofwork-nine.vercel.app/companies/intec-select-ltd
"Platform Recruitment Limited",2,,,No,platform-recruitment-limited,https://proofwork-nine.vercel.app/companies/platform-recruitment-limited
"Bright Purple Resourcing",2,,,No,bright-purple-resourcing,https://proofwork-nine.vercel.app/companies/bright-purple-resourcing
"ATA Recruitment",2,,,No,ata-recruitment,https://proofwork-nine.vercel.app/companies/ata-recruitment
"SR2",2,,,No,sr2,https://proofwork-nine.vercel.app/companies/sr2
"Vantage Consulting",2,,,No,vantage-consulting,https://proofwork-nine.vercel.app/companies/vantage-consulting
"TXP",2,,,No,txp,https://proofwork-nine.vercel.app/companies/txp
"Bennett and Game Recruitment LTD",2,,,No,bennett-and-game-recruitment-ltd,https://proofwork-nine.vercel.app/companies/bennett-and-game-recruitment-ltd
"Fruition Group",2,,,No,fruition-group,https://proofwork-nine.vercel.app/companies/fruition-group
"HAYS Specialist Recruitment",2,,,No,hays-specialist-recruitment,https://proofwork-nine.vercel.app/companies/hays-specialist-recruitment
"Barchester Healthcare",2,,,No,barchester-healthcare,https://proofwork-nine.vercel.app/companies/barchester-healthcare
"AWD online",2,,,No,awd-online,https://proofwork-nine.vercel.app/companies/awd-online
"MBDA UK",2,,,No,mbda-uk,https://proofwork-nine.vercel.app/companies/mbda-uk
"London Stock Exchange Group",2,,,No,london-stock-exchange-group,https://proofwork-nine.vercel.app/companies/london-stock-exchange-group
"DP World",2,,,No,dp-world,https://proofwork-nine.vercel.app/companies/dp-world
"Marks & Spencer",2,,,No,marks-spencer,https://proofwork-nine.vercel.app/companies/marks-spencer
"Harvey Nash",2,,,No,harvey-nash,https://proofwork-nine.vercel.app/companies/harvey-nash
"Lorien",2,,,No,lorien,https://proofwork-nine.vercel.app/companies/lorien
"Coltech Recruitment",2,,,No,coltech-recruitment,https://proofwork-nine.vercel.app/companies/coltech-recruitment
"Anaplan",2,,,No,anaplan,https://proofwork-nine.vercel.app/companies/anaplan
"Morgan McKinley",2,,,No,morgan-mckinley,https://proofwork-nine.vercel.app/companies/morgan-mckinley
"5V Video",2,,,No,5v-video,https://proofwork-nine.vercel.app/companies/5v-video
"Swanky",2,,,No,swanky,https://proofwork-nine.vercel.app/companies/swanky
"Youngs Employment Services",2,,,No,youngs-employment-services,https://proofwork-nine.vercel.app/companies/youngs-employment-services
"Sage",2,,,No,sage,https://proofwork-nine.vercel.app/companies/sage
"Stott & May Professional Search Limited",2,,,No,stott-may-professional-search-limited,https://proofwork-nine.vercel.app/companies/stott-may-professional-search-limited
"SF Partners",2,,,No,sf-partners,https://proofwork-nine.vercel.app/companies/sf-partners
"Vallum Associates",2,,,No,vallum-associates,https://proofwork-nine.vercel.app/companies/vallum-associates
